Bangladesh medical journal	Bangladesh Med J	Bangladesh. Med. J.
American demographics	Am Demogr	Am. Demogr.
Ankara Universitesi Yilligi. Annales de l'Universite d'Ankara. Ankara Universitesi	Ann Univ Ankara	Ann. Univ. Ankara.
Transactions of the American Association of Genito-Urinary Surgeons	Trans Am Assoc Genitourin Surg	Trans. Am. Assoc. Genitourin. Surg.
Journal of clinical issues in psychology	J Clin Issues Psychol	J. Clin. Issues. Psychol.
Proceedings [of the] annual meeting. Central Society for Clinical Research (U.S.)	Proc Annu Meet Cent Soc Clin Res U S	Proc. Annu. Meet. Cent. Soc. Clin. Res. U. S.
Revista espanola de oncologia	Rev Esp Oncol	Rev. Esp. Oncol.
Studies in Nepali history and society	Stud Nepali Hist Soc	Stud. Nepali. Hist. Soc.
Emory law journal	Emory Law J	Emory. Law. J.
Current sexual health reports	Curr Sex Health Rep	Curr. Sex. Health. Rep.
Journal of quantitative linguistics	J Quant Linguist	J. Quant. Linguist.
Pediatric research	Pediatr Res	Pediatr. Res.
Historical archaeology	Hist Archaeol	Hist. Archaeol.
CNA bulletin	CNA Bull	CNA. Bull.
Grief matters	Grief Matters	Grief. Matters.
Desarrollo y sociedad	Desarro Soc	Desarro. Soc.
Health information systems and telemedicine	Health Inf Syst Telemed	Health. Inf. Syst. Telemed.
Biophysics (Nagoya-shi, Japan)	Biophysics (Nagoya-shi)	Biophysics. (Nagoya-shi).
Procedia computer science	Procedia Comput Sci	Procedia. Comput. Sci.
Issues in mental health nursing	Issues Ment Health Nurs	Issues. Ment. Health. Nurs.
The open genomics journal	Open Genomics J	Open. Genomics. J.
Criminal justice studies (Abingdon, England)	Crim Justice Stud (Abingdon)	Crim. Justice. Stud. (Abingdon).
Molecules (Basel, Switzerland)	Molecules	Molecules.
Southern med review	South Med Rev	South. Med. Rev.
Reviews of geophysics (Washington, D.C. : 1985)	Rev Geophys	Rev. Geophys.
Outlook for the blind and the teachers forum	Outlook Blind Teach Forum	Outlook. Blind. Teach. Forum.
Journal of functional biomaterials	J Funct Biomater	J. Funct. Biomater.
Transactions & studies of the College of Physicians of Philadelphia	Trans Stud Coll Physicians Phila	Trans. Stud. Coll. Physicians. Phila.
Journal of contemporary diabetes research	J Contemp Diabetes Res	J. Contemp. Diabetes. Res.
International journal of mycobacteriology	Int J Mycobacteriol	Int. J. Mycobacteriol.
Microbiologica	Microbiologica	Microbiologica.
Case reports in transplantation	Case Rep Transplant	Case. Rep. Transplant.
Community health studies	Community Health Stud	Community. Health. Stud.
Journal of health care interior design : proceedings from the ... Symposium on Health Care Interior Design. Symposium on Health Care Interior Design	J Health Care Inter Des	J. Health. Care. Inter. Des.
Advanced science (Weinheim, Baden-Wurttemberg, Germany)	Adv Sci (Weinh)	Adv. Sci. (Weinh).
Clinical genetics	Clin Genet	Clin. Genet.
Social science & medicine. Medical psychology & medical sociology	Soc Sci Med Med Psychol Med Sociol	Soc. Sci. Med. Med. Psychol. Med. Sociol.
European economic review	Eur Econ Rev	Eur. Econ. Rev.
Metallomics : integrated biometal science	Metallomics	Metallomics.
Angiology	Angiology	Angiology.
Living reviews in solar physics	Living Rev Sol Phys	Living. Rev. Sol. Phys.
Historische Zeitschrift	Hist Z	Hist. Z.
Sozialmedizinische und padagogische Jugendkunde	Sozialmed Padagog Jugendkd	Sozialmed. Padagog. Jugendkd.
Cell biochemistry and function	Cell Biochem Funct	Cell. Biochem. Funct.
The Journal of perinatal & neonatal nursing	J Perinat Neonatal Nurs	J. Perinat. Neonatal. Nurs.
Geschichte und Gegenwart	Gesch Ggw (Graz)	Gesch. Ggw. (Graz).
Military behavioral health	Mil Behav Health	Mil. Behav. Health.
Rivista di odontojatria e ortognatodonzia	Riv Odontojatria Ortognatod	Riv. Odontojatria. Ortognatod.
Zeitschrift fur Gastroenterologie	Z Gastroenterol	Z. Gastroenterol.
Texas medicine	Tex Med	Tex. Med.
Antarctic science	Antarct Sci	Antarct. Sci.
IEEE transactions on circuits and systems. I, Regular papers : a publication of the IEEE Circuits and Systems Society	IEEE Trans Circuits Syst I Regul Pap	IEEE. Trans. Circuits. Syst. I. Regul. Pap.
Zeitschrift fur Arbeitswissenschaft	Z Arbeitswiss	Z. Arbeitswiss.
The leadership quarterly	Leadersh Q	Leadersh. Q.
Atlantic monthly (Boston, Mass. : 1993)	Atl Mon	Atl. Mon.
American journal of pharmacy and the sciences supporting public health	Am J Pharm Sci Support Public Health	Am. J. Pharm. Sci. Support. Public. Health.
International journal of hydrogen energy	Int J Hydrogen Energy	Int. J. Hydrogen. Energy.
Rumah Tangga Dan Kesehatan	Rumah Tangga Kesehatan	Rumah. Tangga. Kesehatan.
Behavioral science	Behav Sci	Behav. Sci.
Archives de sciences sociales des religions	Arch Sci Soc Relig	Arch. Sci. Soc. Relig.
Advances in urology	Adv Urol	Adv. Urol.
Poultry science	Poult Sci	Poult. Sci.
Materials research letters	Mater Res Lett	Mater. Res. Lett.
The journal of knee surgery	J Knee Surg	J. Knee. Surg.
Searcher (Medford, N.J.)	Search Medford N J	Search. Medford. N. J.
La Nouvelle revue des deux mondes	Nouv Rev Deux Mondes	Nouv. Rev. Deux. Mondes.
Annals of clinical and laboratory science	Ann Clin Lab Sci	Ann. Clin. Lab. Sci.
Pathobiology of aging & age related diseases	Pathobiol Aging Age Relat Dis	Pathobiol. Aging. Age. Relat. Dis.
Tuberculosis research and treatment	Tuberc Res Treat	Tuberc. Res. Treat.
Tropical and geographical medicine	Trop Geogr Med	Trop. Geogr. Med.
Pest management science	Pest Manag Sci	Pest. Manag. Sci.
Developmental biology (New York, N.Y. : 1985)	Dev Biol (N Y 1985)	Dev. Biol. (N. Y. 1985).
History of anthropology	Hist Anthropol	Hist. Anthropol.
Pediatric cardiology	Pediatr Cardiol	Pediatr. Cardiol.
European journal of East Asian studies	Eur J East Asian Stud	Eur. J. East. Asian. Stud.
Virulence	Virulence	Virulence.
Journal of human virology	J Hum Virol	J. Hum. Virol.
Faculty notes (New Orleans, La.)	Fac Notes (New Orleans La)	Fac. Notes. (New. Orleans. La).
Nature reviews. Rheumatology	Nat Rev Rheumatol	Nat. Rev. Rheumatol.
Southern journal of optometry	South J Optom	South. J. Optom.
The Journal of law and religion	J Law Relig	J. Law. Relig.
Climate risk management	Clim Risk Manag	Clim. Risk. Manag.
Revista da Faculdade de Odontologia de Ribeirao Preto	Rev Fac Odontol Ribeiro Preto	Rev. Fac. Odontol. Ribeiro. Preto.
Mutation research. Reviews in mutation research	Mutat Res Rev Mutat Res	Mutat. Res. Rev. Mutat. Res.
Federal personnel manual system. FPM bulletin. United States. Office of Personnel Management	FPM Bull	FPM. Bull.
Language, speech, and hearing services in schools	Lang Speech Hear Serv Sch	Lang. Speech. Hear. Serv. Sch.
Applied mathematics research express : AMRX	Appl Math Res Express	Appl. Math. Res. Express.
Dental materials : official publication of the Academy of Dental Materials	Dent Mater	Dent. Mater.
Michie's annotated code of the public general laws of Maryland. Maryland	Michies Annot Code Public Gen Laws Md Md	Michies. Annot. Code. Public. Gen. Laws. Md. Md.
Koinonia	Koinonia	Koinonia.
Journal. Elisha Mitchell Scientific Society (Chapel Hill, N.C.)	J Elisha Mitchell Sci Soc Chapel Hill N C	J. Elisha. Mitchell. Sci. Soc. Chapel. Hill. N. C.
Clinical materials	Clin Mater	Clin. Mater.
Evidence-based nursing	Evid Based Nurs	Evid. Based. Nurs.
Nursing administration quarterly	Nurs Adm Q	Nurs. Adm. Q.
Annals of diagnostic pathology	Ann Diagn Pathol	Ann. Diagn. Pathol.
Residue reviews	Residue Rev	Residue. Rev.
Frontiers in cellular and infection microbiology	Front Cell Infect Microbiol	Front. Cell. Infect. Microbiol.
Health technology directions	Health Technol Dir	Health. Technol. Dir.
Advanced techniques in biology & medicine	Adv Tech Biol Med	Adv. Tech. Biol. Med.
Journal of the Royal Nova Scotia Historical Society	J R N S Hist Soc	J. R. N. S. Hist. Soc.
Animal production	Anim Prod	Anim. Prod.
Mycopathologia	Mycopathologia	Mycopathologia.
Folia medica Neerlandica	Folia Med Neerl	Folia. Med. Neerl.
The Indonesian journal of geography	Indones J Geogr	Indones. J. Geogr.
Recent research developments in organic chemistry	Recent Res Dev Org Chem	Recent. Res. Dev. Org. Chem.
Vegetation history and archaeobotany	Veg Hist Archaeobot	Veg. Hist. Archaeobot.
Acta orthopaedica Scandinavica	Acta Orthop Scand	Acta. Orthop. Scand.
Electronic journal of statistics	Electron J Stat	Electron. J. Stat.
Industrial hygiene newsletter	Ind Hyg Newsl	Ind. Hyg. Newsl.
Oral hygiene	Oral Hyg	Oral. Hyg.
Journal of neurology and psychiatry	J Neurol Psychiatry	J. Neurol. Psychiatry.
Biology and medicine (Aligarh)	Biol Med (Aligarh)	Biol. Med. (Aligarh).
Journal of medical robotics research	J Med Robot Res	J. Med. Robot. Res.
North African and Middle East epilepsy journal	North Afr Middle East Epilepsy J	North. Afr. Middle. East. Epilepsy. J.
Applied catalysis	Appl Catal	Appl. Catal.
Broward review	Broward Rev	Broward. Rev.
Parazitologiia	Parazitologiia	Parazitologiia.
Seminars in medical practice	Semin Med Pract	Semin. Med. Pract.
Chemical science	Chem Sci	Chem. Sci.
Hepatobiliary & pancreatic diseases international : HBPD INT	Hepatobiliary Pancreat Dis Int	Hepatobiliary. Pancreat. Dis. Int.
American family physician	Am Fam Physician	Am. Fam. Physician.
Journal of neurology and neurological disorders	J Neurol Neurol Disord	J. Neurol. Neurol. Disord.
Harvard public health alumni bulletin	Harv Public Health Alumni Bull	Harv. Public. Health. Alumni. Bull.
The open obesity journal	Open Obes J	Open. Obes. J.
The overseas post-graduate medical journal	Overseas Postgrad Med J	Overseas. Postgrad. Med. J.
The Journal of aviation medicine	J Aviat Med	J. Aviat. Med.
Parkinson's disease	Parkinsons Dis	Parkinsons. Dis.
Human antibodies	Hum Antibodies	Hum. Antibodies.
Indian journal of chemistry	Indian J Chem	Indian. J. Chem.
Aevum	Aevum	Aevum.
Preslia	Preslia	Preslia.
Zeitschrift fur klinische Medizin	Z Klin Med	Z. Klin. Med.
Neuromuscular disorders : NMD	Neuromuscul Disord	Neuromuscul. Disord.
Honismereti modszertani fuzetek	Szabolcs Szatmari Szle	Szabolcs. Szatmari. Szle.
International journal of physiology, pathophysiology and pharmacology	Int J Physiol Pathophysiol Pharmacol	Int. J. Physiol. Pathophysiol. Pharmacol.
The Journal of clinical endocrinology	J Clin Endocrinol	J. Clin. Endocrinol.
The Career development quarterly	Career Dev Q	Career. Dev. Q.
Revue de l'Academie polonaise des sciences. Polska Akademia Nauk	Rev Acad Pol Sci	Rev. Acad. Pol. Sci.
The open biotechnology journal	Open Biotechnol J	Open. Biotechnol. J.
Wiener klinische Wochenschrift	Wien Klin Wochenschr	Wien. Klin. Wochenschr.
Liberty, life, and family	Lib Life Fam	Lib. Life. Fam.
Journal of moral education	J Moral Educ	J. Moral. Educ.
Seminars in thrombosis and hemostasis	Semin Thromb Hemost	Semin. Thromb. Hemost.
Insect systematics & evolution	Insect Syst Evol	Insect. Syst. Evol.
Voprosy fiziologii	Vopr Fiziol	Vopr. Fiziol.
Health care financing trends	Health Care Financ Trends	Health. Care. Financ. Trends.
The Medical comment	Med Comment	Med. Comment.
Bulletin de l'Institut Pasteur	Bull Inst Pasteur	Bull. Inst. Pasteur.
Schweizerische medizinische Wochenschrift. Supplementum	Schweiz Med Wochenschr Suppl	Schweiz. Med. Wochenschr. Suppl.
University of Ghana law journal	Univ Ghana Law J	Univ. Ghana. Law. J.
Pleura (Thousand Oaks, Ventura County, Calif.)	Pleura (Thousand Oaks)	Pleura. (Thousand. Oaks).
African notes : bulletin of the Institute of African Studies, University of Ibadan	Afr Notes	Afr. Notes.
Marine ecology progress series	Mar Ecol Prog Ser	Mar. Ecol. Prog. Ser.
Computing in cardiology	Comput Cardiol (2010)	Comput. Cardiol. (2010).
Biological and Medical Research Division semiannual report. Argonne National Laboratory. Division of Biological and Medical Research	Biol Med Res Div Semiannu Rep (Argonne National Laboratory)	Biol. Med. Res. Div. Semiannu. Rep. (Argonne. National. Laboratory).
Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin	Euro Surveill	Euro. Surveill.
Medizinischer Bild-Dienst	Med Bild Dienst	Med. Bild. Dienst.
The Journal of long term home health care : The PRIDE Institute journal	J Long Term Home Health Care	J. Long. Term. Home. Health. Care.
Bender's health care law monthly	Benders Health Care Law Mon	Benders. Health. Care. Law. Mon.
Stomatologicke zpravy	Stomatol Zpr	Stomatol. Zpr.
Proceedings of the ... ACM/IEEE Joint Conference on Digital Libraries. ACM/IEEE Joint Conference on Digital Libraries	Proc ACM/IEEE Joint Conf Digit Libr	Proc. ACM/IEEE. Joint. Conf. Digit. Libr.
Korean journal of medical education	Korean J Med Educ	Korean. J. Med. Educ.
Revista ABP-APAL	Rev ABPAPAL	Rev. ABPAPAL.
Harmful algae 2002 : proceedings of the Xth International Conference on Harmful Algae, St. Pete Beach, Florida, USA, October 21-25, 2002. International Conference on Harmful Algae (10th : 2002 : St. Pete Beach, Florida)	Harmful Algae 2002 (2002)	Harmful. Algae. 2002. (2002).
Bulletin de la Societe royale belge de gynecologie et d'obstetrique	Bull Soc R Belge Gynecol Obstet	Bull. Soc. R. Belge. Gynecol. Obstet.
Roczniki filozoficzne. Annales de philosophie	Rocz Filoz	Rocz. Filoz.
Pancreatic disorders & therapy	Pancreat Disord Ther	Pancreat. Disord. Ther.
Indian journal of behaviour	Indian J Behav	Indian. J. Behav.
The Queensland dental journal	Qld Dent J	Qld. Dent. J.
The International journal of psycho-analysis	Int J Psychoanal	Int. J. Psychoanal.
Revue du Nord	Rev Nord	Rev. Nord.
Gottinger Jahrbuch	Gott Jahrb	Gott. Jahrb.
The British journal of psychology. General section	Br J Psychol Gen Sect	Br. J. Psychol. Gen. Sect.
SOJ anesthesiology & pain management	SOJ Anesthesiol Pain Manag	SOJ. Anesthesiol. Pain. Manag.
International journal on Semantic Web and information systems	Int J Semant Web Inf Syst	Int. J. Semant. Web. Inf. Syst.
Learning and instruction	Learn Instr	Learn. Instr.
Singapore journal of obstetrics & gynaecology	Singapore J Obstet Gynecol	Singapore. J. Obstet. Gynecol.
World conservation	World Conserv	World. Conserv.
Journal of the Chemical Society	J Chem Soc	J. Chem. Soc.
Biophysical reviews	Biophys Rev	Biophys. Rev.
Clinical and translational science	Clin Transl Sci	Clin. Transl. Sci.
Semiotica	Semiotica	Semiotica.
Oesterreichische Apotheker Zeitung	Osterr Apoth Ztg	Osterr. Apoth. Ztg.
Rivista italiana di stomatologia	Riv Ital Stomatol	Riv. Ital. Stomatol.
Epileptic disorders : international epilepsy journal with videotape	Epileptic Disord	Epileptic. Disord.
International journal of imaging systems and technology	Int J Imaging Syst Technol	Int. J. Imaging. Syst. Technol.
Medicina experimentalis : International journal of experimental medicine	Med Exp Int J Exp Med	Med. Exp. Int. J. Exp. Med.
Archives d'ophtalmologie et revue generale d'ophtalmologie	Arch Ophtalmol Rev Gen Ophtalmol	Arch. Ophtalmol. Rev. Gen. Ophtalmol.
Acta psychiatrica Belgica	Acta Psychiatr Belg	Acta. Psychiatr. Belg.
Comparativ : Leipziger Beitrage zur Universalgeschichte und vergleichenden Gesellschaftsforschung	Comparativ (Leipz)	Comparativ. (Leipz).
Pakistan journal of science	Pak J Sci	Pak. J. Sci.
Cahiers d'histoire de la seconde guerre mondiale	Cah Hist Second Guerr Mond	Cah. Hist. Second. Guerr. Mond.
Journal de mycologie medicale	J Mycol Med	J. Mycol. Med.
Journal of long-term effects of medical implants	J Long Term Eff Med Implants	J. Long. Term. Eff. Med. Implants.
Neurologija	Neurologija	Neurologija.
Journal of medical engineering & technology	J Med Eng Technol	J. Med. Eng. Technol.
CAMSI journal. Journal ACEMI	CAMSI J	CAMSI. J.
Trudy. Vsesoiuznoe fiziologicheskoe obshchestvo imeni I. P. Pavlova. Orenburgskoe otdelenie	Trudy Vsesoiuznoe Fiziol Obshchestvo Im I P Pavlov Orenb Otd	Trudy. Vsesoiuznoe. Fiziol. Obshchestvo. Im. I. P. Pavlov. Orenb. Otd.
Diabetes/metabolism reviews	Diabetes Metab Rev	Diabetes. Metab. Rev.
Eugenesia	Eugenesia	Eugenesia.
Qualitative social work : QSW : research and practice	Qual Soc Work	Qual. Soc. Work.
Transactions. Conference on Metabolic Aspects of Convalescence	Trans Conf Metab Asp Conval	Trans. Conf. Metab. Asp. Conval.
Non-pharmacological therapies in dementia	Nonpharmacol Ther Dement	Nonpharmacol. Ther. Dement.
Official journal of the Canadian Association of Critical Care Nurses	Off J Can Assoc Crit Care Nurs	Off. J. Can. Assoc. Crit. Care. Nurs.
Folia parasitologica	Folia Parasitol (Praha)	Folia. Parasitol. (Praha).
El Cooperador dental; cooperativismo, informacion y ciencia odontologica	Coop Dent (B Aires)	Coop. Dent. (B. Aires).
Seniors housing & care journal	Seniors Hous Care J	Seniors. Hous. Care. J.
Journal of the Indian medical profession	J Indian Med Prof	J. Indian. Med. Prof.
Journal of Indian philosophy	J Indian Philos	J. Indian. Philos.
The Journal of clinical psychiatry	J Clin Psychiatry	J. Clin. Psychiatry.
Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences	Beijing Da Xue Xue Bao	Beijing. Da. Xue. Xue. Bao.
Wolfenbutteler Renaissance Mitteilungen	Wolfenbutteler Renaiss Mitt	Wolfenbutteler. Renaiss. Mitt.
Journal of chromatography. A	J Chromatogr A	J. Chromatogr. A.
Probiotics and antimicrobial proteins	Probiotics Antimicrob Proteins	Probiotics. Antimicrob. Proteins.
Biomedical sciences instrumentation	Biomed Sci Instrum	Biomed. Sci. Instrum.
Journal of statistical mechanics (Online)	J Stat Mech	J. Stat. Mech.
Issledovaniia po genetike	Issled Genet	Issled. Genet.
Heredity	Heredity (Edinb)	Heredity. (Edinb).
Geografisch tijdschrift	Geogr Tydschr	Geogr. Tydschr.
Wiley interdisciplinary reviews. Computational statistics	Wiley Interdiscip Rev Comput Stat	Wiley. Interdiscip. Rev. Comput. Stat.
German comments	Ger Comments	Ger. Comments.
Bulletin of the Park Ridge Center	Bull Park Ridge Cent	Bull. Park. Ridge. Cent.
Reports of biochemistry & molecular biology	Rep Biochem Mol Biol	Rep. Biochem. Mol. Biol.
